"filename", "language", "Python", "XML", "comment", "blank", "total"
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\estimator\__init__.py", "Python", 66, 0, 4, 4, 74
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\estimator\experimental\__init__.py", "Python", 19, 0, 4, 4, 27
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\estimator\export\__init__.py", "Python", 15, 0, 7, 4, 26
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\estimator\inputs\__init__.py", "Python", 8, 0, 4, 4, 16
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\estimator\tpu\__init__.py", "Python", 12, 0, 4, 4, 20
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\estimator\tpu\experimental\__init__.py", "Python", 7, 0, 4, 4, 15
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v1\v1.py", "Python", 7, 0, 4, 4, 15
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v2\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v2\estimator\__init__.py", "Python", 59, 0, 4, 2, 65
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v2\estimator\experimental\__init__.py", "Python", 13, 0, 4, 2, 19
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v2\estimator\export\__init__.py", "Python", 10, 0, 7, 2, 19
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v2\estimator\inputs\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\api\_v2\v2.py", "Python", 2, 0, 4, 2, 8
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\baseline.py", "Python", 242, 0, 353, 58, 653
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\boosted_trees.py", "Python", 1324, 0, 863, 208, 2395
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\boosted_trees_utils.py", "Python", 50, 0, 27, 18, 95
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\dnn.py", "Python", 562, 0, 576, 88, 1226
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\dnn_linear_combined.py", "Python", 545, 0, 528, 74, 1147
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\dnn_testing_utils.py", "Python", 1522, 0, 410, 207, 2139
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\head.py", "Python", 1051, 0, 560, 103, 1714
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\kmeans.py", "Python", 175, 0, 264, 41, 480
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\linear.py", "Python", 719, 0, 811, 143, 1673
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\linear_optimizer\__init__.py", "Python", 5, 0, 19, 2, 26
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\linear_optimizer\python\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\linear_optimizer\python\utils\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\linear_optimizer\python\utils\sdca_ops.py", "Python", 434, 0, 288, 62, 784
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\linear_testing_utils.py", "Python", 1680, 0, 254, 304, 2238
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\metric_keys.py", "Python", 29, 0, 23, 10, 62
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\optimizers.py", "Python", 59, 0, 70, 12, 141
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\parsing_utils.py", "Python", 92, 0, 240, 22, 354
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\prediction_keys.py", "Python", 13, 0, 20, 5, 38
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\rnn.py", "Python", 259, 0, 383, 44, 686
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\canned\saved_model_estimator.py", "Python", 211, 0, 230, 56, 497
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\early_stopping.py", "Python", 294, 0, 235, 65, 594
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\estimator.py", "Python", 1252, 0, 955, 201, 2408
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\estimator_lib.py", "Python", 54, 0, 17, 4, 75
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\exporter.py", "Python", 214, 0, 243, 53, 510
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\extenders.py", "Python", 43, 0, 69, 12, 124
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\gc.py", "Python", 64, 0, 128, 26, 218
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\keras_lib.py", "Python", 407, 0, 314, 71, 792
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\mode_keys.py", "Python", 6, 0, 15, 4, 25
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\model_fn.py", "Python", 291, 0, 292, 48, 631
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\run_config.py", "Python", 489, 0, 368, 132, 989
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\training.py", "Python", 526, 0, 451, 141, 1118
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\tensorflow_estimator\python\estimator\util.py", "Python", 47, 0, 44, 23, 114
"Total", "-", 19058, 53, 12123, 3940, 35174
